ACCIDENT_NO,ACCIDENT_DATE,ACCIDENT_TIME,ACCIDENT_TYPE,ACCIDENT_TYPE_DESC,DAY_OF_WEEK,DAY_WEEK_DESC,DCA_CODE,DCA_DESC,LIGHT_CONDITION,NODE_ID,NO_OF_VEHICLES,NO_PERSONS_KILLED,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_NOT_INJ,NO_PERSONS,POLICE_ATTEND,ROAD_GEOMETRY,ROAD_GEOMETRY_DESC,SEVERITY,SPEED_ZONE,RMA, LAT, LONG, DATE, COUNCIL
T20150005257,2015-03-12,06:45:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),3,51636,3,0,0,1,1,2,1,1,Cross intersection,3,60,Local Road,144.257601,-36.762479,20150312,BENDIGO
T20150005355,2015-03-13,08:50:00,1,Collision with vehicle,5,Friday,121,RIGHT THROUGH,1,355448,2,0,0,1,2,3,1,1,Cross intersection,3,60,Arterial Highway,144.291828,-36.757281,20150313,BENDIGO
T20150005604,2015-03-16,17:45:00,8,No collision and no object struck,2,Monday,182,OFF CARRIAGEWAY ON LEFT BEND,2,288485,1,0,1,0,0,1,1,5,Not at intersection,2,80,Local Road,144.224542,-36.768219,20150316,BENDIGO
T20150006595,2015-03-18,17:40:00,1,Collision with vehicle,3,Wednesday,130,REAR END(VEHICLES IN SAME LANE),2,287212,2,0,0,1,3,4,2,5,Not at intersection,3,60,Arterial Highway,144.25633,-36.758592,20150318,BENDIGO
T20150005856,2015-03-19,15:15:00,1,Collision with vehicle,5,Thursday,132,RIGHT REAR.,1,51626,2,0,1,0,1,2,2,1,Cross intersection,2,60,Local Road,144.263182,-36.760969,20150319,BENDIGO
T20150005854,2015-03-19,15:15:00,1,Collision with vehicle,4,Thursday,121,RIGHT THROUGH,1,51593,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Other,144.274076,-36.755246,20150319,BENDIGO
T20150007665,2015-03-20,14:05:00,1,Collision with vehicle,5,Friday,130,REAR END(VEHICLES IN SAME LANE),1,288483,2,0,0,1,1,2,1,5,Not at intersection,3,60,Arterial Other,144.273541,-36.76567,20150320,BENDIGO
T20150006207,2015-03-24,06:22:00,1,Collision with vehicle,3,Tuesday,120,HEAD ON (NOT OVERTAKING),3,287637,2,0,0,1,1,2,1,2,T intersection,3,50,,144.277192,-36.760272,20150324,BENDIGO
T20150006406,2015-03-26,08:20:00,1,Collision with vehicle,5,Thursday,150,HEAD ON(OVERTAKING),1,289815,2,0,1,4,1,6,1,5,Not at intersection,2,100,Arterial Highway,144.15791,-36.81431,20150326,BENDIGO
T20150011147,2015-03-27,06:15:00,1,Collision with vehicle,6,Friday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,2,290025,5,0,0,1,0,1,1,2,T intersection,3,50,Local Road,144.273259,-36.754241,20150327,BENDIGO
T20150006560,2015-03-28,02:15:00,6,Vehicle overturned (no collision),7,Saturday,172,OFF CARRIAGEWAY TO RIGHT,5,287640,1,0,0,2,0,2,1,5,Not at intersection,3,100,,144.237739,-36.82294,20150328,BENDIGO
T20150010156,2015-03-30,14:20:00,1,Collision with vehicle,2,Monday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,1,289138,2,0,1,0,0,1,1,5,Not at intersection,2,40,Local Road,144.306217,-36.768252,20150330,BENDIGO
T20150006781,2015-03-30,23:20:00,3,Struck animal,2,Monday,167,STRUCK ANIMAL,5,287372,2,0,1,0,1,2,1,5,Not at intersection,2,100,Arterial Other,144.155102,-36.84984,20150330,BENDIGO
T20150006824,2015-03-31,13:30:00,1,Collision with vehicle,3,Tuesday,121,RIGHT THROUGH,1,30031,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Highway,144.291933,-36.757373,20150331,BENDIGO
T20150008479,2015-04-03,21:30:00,1,Collision with vehicle,6,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),3,45005,2,0,0,1,1,2,2,1,Cross intersection,3,60,Arterial Other,144.315756,-36.766846,20150403,BENDIGO
T20150009897,2015-04-05,15:50:00,1,Collision with vehicle,1,Sunday,121,RIGHT THROUGH,1,51606,2,0,0,1,3,4,2,2,T intersection,3,60,Arterial Highway,144.260845,-36.757087,20150405,BENDIGO
T20150007324,2015-04-07,15:30:00,4,Collision with a fixed object,3,Tuesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,287611,1,0,1,2,0,3,1,5,Not at intersection,2,60,Arterial Other,144.274473,-36.77314,20150407,BENDIGO
T20150009944,2015-04-10,22:30:00,2,Struck Pedestrian,6,Friday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,6,293522,1,0,0,1,0,1,2,5,Not at intersection,3,50,Local Road,144.240681,-36.79613,20150410,BENDIGO
T20150007650,2015-04-12,02:30:00,4,Collision with a fixed object,1,Sunday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,6,287775,1,0,1,0,0,1,1,5,Not at intersection,2,60,Arterial Other,144.226998,-36.798435,20150412,BENDIGO
T20150007864,2015-04-12,14:00:00,4,Collision with a fixed object,1,Sunday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,1,287950,1,0,0,1,0,1,2,5,Not at intersection,3,999,Local Road,144.35889,-36.745319,20150412,BENDIGO
T20150007669,2015-04-12,02:18:00,2,Struck Pedestrian,1,Sunday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,3,288498,1,0,1,0,1,2,1,1,Cross intersection,2,50,Arterial Highway,144.278355,-36.75947,20150412,BENDIGO
T20150007759,2015-04-13,08:10:00,1,Collision with vehicle,2,Monday,121,RIGHT THROUGH,1,49321,2,0,0,1,1,2,2,1,Cross intersection,3,60,Arterial Other,144.305216,-36.773247,20150413,BENDIGO
T20150007804,2015-04-13,15:30:00,8,No collision and no object struck,2,Monday,184,OUT OF CONTROL ON CARRIAGEWAY (ON BEND),1,288016,1,0,0,1,0,1,2,2,T intersection,3,100,Arterial Highway,144.126522,-36.727759,20150413,BENDIGO
T20150007772,2015-04-14,06:50:00,1,Collision with vehicle,3,Tuesday,113,RIGHT NEAR (INTERSECTIONS ONLY),2,59509,2,0,0,1,1,2,1,2,T intersection,3,60,Arterial Highway,144.310641,-36.724019,20150414,BENDIGO
T20150007947,2015-04-15,18:20:00,1,Collision with vehicle,4,Wednesday,136,RIGHT TURN SIDESWIPE,3,288490,2,0,0,2,3,5,1,5,Not at intersection,3,90,Arterial Highway,144.344502,-36.770066,20150415,BENDIGO
T20150007995,2015-04-16,06:00:00,4,Collision with a fixed object,5,Thursday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,5,288278,1,0,1,0,0,1,1,5,Not at intersection,2,100,Arterial Highway,144.747744,-36.957677,20150416,BENDIGO
T20150008336,2015-04-20,10:05:00,3,Struck animal,2,Monday,167,STRUCK ANIMAL,1,291779,1,0,0,1,1,2,1,5,Not at intersection,3,100,,144.751481,-36.961019,20150420,BENDIGO
T20150008406,2015-04-21,09:10:00,1,Collision with vehicle,3,Tuesday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,57732,2,0,0,1,1,2,1,2,T intersection,3,90,Arterial Highway,144.217711,-36.750222,20150421,BENDIGO
T20150011299,2015-04-21,16:00:00,1,Collision with vehicle,2,Tuesday,130,REAR END(VEHICLES IN SAME LANE),1,290244,2,0,0,1,1,2,2,5,Not at intersection,3,60,Arterial Highway,144.253172,-36.776981,20150421,BENDIGO
T20150008532,2015-04-22,15:55:00,1,Collision with vehicle,3,Wednesday,116,LEFT NEAR (INTERSECTIONS ONLY),1,59708,2,0,0,1,2,3,1,1,Cross intersection,3,50,Local Road,144.274312,-36.7594,20150422,BENDIGO
T20150008587,2015-04-23,18:20:00,4,Collision with a fixed object,5,Thursday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,5,289150,1,0,0,3,0,3,1,5,Not at intersection,3,70,Local Road,144.325162,-36.71712,20150423,BENDIGO
T20150017052,2015-04-23,08:10:00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,1,44630,2,0,0,1,2,3,1,1,Cross intersection,3,60,Arterial Highway,144.270579,-36.763471,20150423,BENDIGO
T20150008719,2015-04-25,06:30:00,2,Struck Pedestrian,7,Saturday,109,ANY MANOEUVRE INVOLVING PED NOT INCLUDED IN DCAs 100-108.,2,288665,1,0,0,1,0,1,2,5,Not at intersection,3,40,Local Road,144.708701,-36.923339,20150425,BENDIGO
T20150009368,2015-04-25,18:30:00,4,Collision with a fixed object,6,Saturday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,6,290457,1,0,0,2,0,2,2,5,Not at intersection,3,60,Local Road,144.223542,-36.764805,20150425,BENDIGO
T20150010208,2015-04-26,20:15:00,1,Collision with vehicle,1,Sunday,130,REAR END(VEHICLES IN SAME LANE),3,19441,2,0,0,1,2,3,1,2,T intersection,3,60,Arterial Other,144.308553,-36.775192,20150426,BENDIGO
T20150012400,2015-04-27,20:30:00,8,No collision and no object struck,2,Monday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),6,59516,1,0,0,1,0,1,2,2,T intersection,3,50,Local Road,144.266498,-36.726626,20150427,BENDIGO
T20150008937,2015-04-28,11:10:00,1,Collision with vehicle,3,Tuesday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,288489,2,0,1,1,1,3,1,5,Not at intersection,2,50,Local Road,144.304529,-36.77418,20150428,BENDIGO
T20150009044,2015-04-29,18:35:00,1,Collision with vehicle,3,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),6,59778,2,0,0,1,1,2,2,1,Cross intersection,3,50,Local Road,144.268332,-36.771082,20150429,BENDIGO
T20150009142,2015-04-30,19:15:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),3,49318,2,0,0,1,2,3,1,4,Multiple intersection,3,60,Arterial Highway,144.287376,-36.758373,20150430,BENDIGO
T20150009110,2015-04-30,12:28:00,1,Collision with vehicle,5,Thursday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,51883,2,0,1,0,2,3,1,2,T intersection,2,90,Arterial Highway,144.220182,-36.75406,20150430,BENDIGO
T20150013222,2015-05-01,13:38:00,1,Collision with vehicle,5,Friday,130,REAR END(VEHICLES IN SAME LANE),1,59930,2,0,0,1,1,2,1,1,Cross intersection,3,90,Arterial Highway,144.731113,-36.945847,20150501,BENDIGO
T20150009327,2015-05-03,17:15:00,4,Collision with a fixed object,1,Sunday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,2,288696,1,0,0,1,0,1,1,5,Not at intersection,3,100,,144.19845,-36.809623,20150503,BENDIGO
T20150009334,2015-05-03,04:50:00,1,Collision with vehicle,1,Sunday,169,OTHER ON PATH,5,288624,2,0,0,1,2,3,1,5,Not at intersection,3,50,Local Road,144.298088,-36.752719,20150503,BENDIGO
T20150009718,2015-05-08,15:15:00,1,Collision with vehicle,6,Friday,130,REAR END(VEHICLES IN SAME LANE),1,289076,2,0,0,3,2,5,1,5,Not at intersection,3,60,Arterial Highway,144.248532,-36.782111,20150508,BENDIGO
T20150010212,2015-05-08,18:10:00,1,Collision with vehicle,6,Friday,113,RIGHT NEAR (INTERSECTIONS ONLY),3,51883,2,0,1,0,2,3,1,2,T intersection,2,90,Arterial Highway,144.220182,-36.75406,20150508,BENDIGO
T20150019457,2015-05-09,20:40:00,1,Collision with vehicle,6,Saturday,130,REAR END(VEHICLES IN SAME LANE),3,50483,3,0,0,1,2,3,1,2,T intersection,3,80,Arterial Highway,144.242235,-36.802957,20150509,BENDIGO
T20150009783,2015-05-09,15:25:00,4,Collision with a fixed object,7,Saturday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,289766,1,0,0,1,0,1,1,5,Not at intersection,3,100,Arterial Other,144.566413,-37.005192,20150509,BENDIGO
T20150010168,2015-05-14,18:20:00,2,Struck Pedestrian,4,Thursday,107,PED ON FOOTHPATH STRUCK BY VEHENTERING/LEAVING DRIVEWAY.,5,290518,1,0,1,0,1,2,1,2,T intersection,2,50,Local Road,144.290223,-36.758218,20150514,BENDIGO
T20150011622,2015-05-15,07:50:00,8,No collision and no object struck,6,Friday,170,OFF CARRIAGEWAY TO LEFT,2,291122,1,0,0,1,0,1,2,5,Not at intersection,3,60,,144.272331,-36.66583,20150515,BENDIGO
T20150012543,2015-05-15,16:10:00,1,Collision with vehicle,6,Friday,121,RIGHT THROUGH,2,290373,2,0,0,1,1,2,9,5,Not at intersection,3,50,Arterial Other,144.283231,-36.749999,20150515,BENDIGO
T20150010570,2015-05-17,17:35:00,1,Collision with vehicle,1,Sunday,160,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD,2,357248,2,0,0,1,0,1,1,5,Not at intersection,3,60,Arterial Other,144.286849,-36.758899,20150517,BENDIGO
T20150010460,2015-05-18,09:00:00,2,Struck Pedestrian,2,Monday,100,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.,1,44715,1,0,1,0,1,2,1,1,Cross intersection,2,50,Arterial Highway,144.253698,-36.718652,20150518,BENDIGO
T20150010562,2015-05-19,08:00:00,1,Collision with vehicle,3,Tuesday,120,HEAD ON (NOT OVERTAKING),1,290879,2,0,0,2,0,2,1,2,T intersection,3,100,,144.29686,-36.93023,20150519,BENDIGO
T20150011354,2015-05-19,03:02:00,4,Collision with a fixed object,3,Tuesday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,3,290812,1,0,1,2,0,3,1,5,Not at intersection,2,60,Local Road,144.25928,-36.730072,20150519,BENDIGO
T20150010636,2015-05-19,11:00:00,1,Collision with vehicle,3,Tuesday,137,LEFT TURN SIDESWIPE,1,19680,2,0,0,1,1,2,2,2,T intersection,3,60,Arterial Other,144.288852,-36.745709,20150519,BENDIGO
T20150010760,2015-05-20,19:00:00,1,Collision with vehicle,4,Wednesday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,3,289763,2,0,1,0,2,3,1,5,Not at intersection,2,60,Arterial Highway,144.69911,-36.91328,20150520,BENDIGO
T20150010673,2015-05-20,12:10:00,1,Collision with vehicle,3,Wednesday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,51556,2,0,0,1,1,2,1,2,T intersection,3,60,Arterial Other,144.290258,-36.744434,20150520,BENDIGO
T20150010842,2015-05-21,21:57:00,1,Collision with vehicle,4,Thursday,120,HEAD ON (NOT OVERTAKING),3,289602,2,0,0,1,1,2,1,5,Not at intersection,3,50,Arterial Highway,144.262251,-36.770731,20150521,BENDIGO
T20150010871,2015-05-22,12:55:00,1,Collision with vehicle,6,Friday,132,RIGHT REAR.,1,289448,2,0,0,1,4,5,1,2,T intersection,3,50,Local Road,144.301331,-36.777168,20150522,BENDIGO
T20150011162,2015-05-26,12:05:00,1,Collision with vehicle,3,Tuesday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,51555,2,0,1,0,1,2,1,2,T intersection,2,60,Arterial Highway,144.258307,-36.744074,20150526,BENDIGO
T20150011171,2015-05-26,16:15:00,1,Collision with vehicle,3,Tuesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),2,51636,2,0,0,3,2,5,1,1,Cross intersection,3,60,Local Road,144.257601,-36.762479,20150526,BENDIGO
T20150011353,2015-05-28,17:47:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),3,289937,2,0,0,2,1,3,1,2,T intersection,3,60,Arterial Highway,144.296863,-36.741852,20150528,BENDIGO
T20150014322,2015-05-31,16:00:00,4,Collision with a fixed object,1,Sunday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,2,291394,1,0,0,1,0,1,2,5,Not at intersection,3,50,Local Road,144.292466,-36.75834,20150531,BENDIGO
T20150011809,2015-06-03,17:00:00,1,Collision with vehicle,4,Wednesday,132,RIGHT REAR.,2,59611,2,0,1,0,2,3,1,2,T intersection,2,60,Arterial Other,144.253305,-36.746973,20150603,BENDIGO
T20150011813,2015-06-03,18:20:00,1,Collision with vehicle,4,Wednesday,130,REAR END(VEHICLES IN SAME LANE),3,51566,3,0,0,1,3,4,1,1,Cross intersection,3,60,Arterial Other,144.285205,-36.748604,20150603,BENDIGO
T20150011897,2015-06-03,12:30:00,2,Struck Pedestrian,4,Wednesday,103,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,1,356960,1,0,0,1,0,1,2,5,Not at intersection,3,50,Local Road,144.276987,-36.761667,20150603,BENDIGO
T20150011915,2015-06-04,15:00:00,1,Collision with vehicle,5,Thursday,130,REAR END(VEHICLES IN SAME LANE),1,19435,4,0,0,1,4,5,2,1,Cross intersection,3,50,Arterial Other,144.281483,-36.762371,20150604,BENDIGO
T20150011889,2015-06-04,14:20:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,19424,2,0,0,1,3,4,1,1,Cross intersection,3,60,Arterial Other,144.274233,-36.743566,20150604,BENDIGO
T20150011895,2015-06-04,14:20:00,4,Collision with a fixed object,5,Thursday,181,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE,1,290231,1,0,1,0,0,1,1,5,Not at intersection,2,100,,144.81021,-36.864489,20150604,BENDIGO
T20150011933,2015-06-04,22:40:00,1,Collision with vehicle,5,Thursday,121,RIGHT THROUGH,3,44630,2,0,1,1,2,4,1,1,Cross intersection,2,60,Arterial Highway,144.270579,-36.763471,20150604,BENDIGO
T20150012008,2015-06-05,16:55:00,1,Collision with vehicle,5,Friday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,59778,2,0,0,1,1,2,1,1,Cross intersection,3,50,Local Road,144.268332,-36.771082,20150605,BENDIGO
T20150012150,2015-06-08,09:54:00,1,Collision with vehicle,1,Monday,113,RIGHT NEAR (INTERSECTIONS ONLY),1,51628,2,0,1,1,0,2,1,1,Cross intersection,2,60,Arterial Other,144.283385,-36.761424,20150608,BENDIGO
T20150013176,2015-06-09,17:00:00,1,Collision with vehicle,3,Tuesday,130,REAR END(VEHICLES IN SAME LANE),2,290669,4,0,0,1,3,4,2,5,Not at intersection,3,60,Arterial Highway,144.29678,-36.74196,20150609,BENDIGO
T20150012390,2015-06-11,17:45:00,1,Collision with vehicle,4,Thursday,121,RIGHT THROUGH,3,51549,2,0,0,1,1,2,1,2,T intersection,3,60,Arterial Highway,144.296573,-36.742254,20150611,BENDIGO
T20150012451,2015-06-12,10:40:00,1,Collision with vehicle,6,Friday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,290342,2,0,0,1,2,3,1,5,Not at intersection,3,60,Local Road,144.304817,-36.773789,20150612,BENDIGO
T20150016232,2015-06-12,09:00:00,1,Collision with vehicle,5,Friday,132,RIGHT REAR.,1,357015,2,0,0,2,1,3,2,5,Not at intersection,3,60,,144.292258,-36.76629,20150612,BENDIGO
T20150012567,2015-06-13,17:50:00,1,Collision with vehicle,7,Saturday,134,LANE CHANGE RIGHT (NOT OVERTAKING),2,51610,2,0,0,2,0,2,2,1,Cross intersection,3,50,Arterial Highway,144.298155,-36.758555,20150613,BENDIGO
T20150012621,2015-06-14,16:50:00,4,Collision with a fixed object,0,Sunday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,2,290624,1,0,1,0,0,1,1,5,Not at intersection,2,999,,144.270951,-36.65676,20150614,BENDIGO
T20150012620,2015-06-14,16:05:00,1,Collision with vehicle,0,Sunday,121,RIGHT THROUGH,1,356970,3,0,1,0,2,3,1,1,Cross intersection,2,60,Local Road,144.293697,-36.767904,20150614,BENDIGO
T20150012608,2015-06-14,14:10:00,1,Collision with vehicle,1,Sunday,140,U TURN,1,290705,2,0,0,1,1,2,1,5,Not at intersection,3,100,Arterial Other,144.10674,-36.814949,20150614,BENDIGO
T20150013824,2015-06-15,21:20:00,1,Collision with vehicle,2,Monday,120,HEAD ON (NOT OVERTAKING),3,291100,2,0,0,1,1,2,1,5,Not at intersection,3,60,Arterial Highway,144.307904,-36.727552,20150615,BENDIGO
T20150012697,2015-06-15,17:35:00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),3,51589,2,0,0,2,2,4,1,1,Cross intersection,3,60,Arterial Highway,144.28617,-36.754117,20150615,BENDIGO
T20150012862,2015-06-17,17:15:00,9,Other accident,4,Wednesday,198,OTHER ACCIDENTS NOT CLASSIFIABLE ELSEWHERE,2,291147,1,0,1,1,0,2,1,2,T intersection,2,70,Arterial Highway,144.238527,-36.81718,20150617,BENDIGO
T20150012905,2015-06-18,10:25:00,1,Collision with vehicle,5,Thursday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,290633,2,0,0,2,1,3,1,1,Cross intersection,3,50,,144.258045,-36.776269,20150618,BENDIGO
T20150013043,2015-06-19,18:20:00,1,Collision with vehicle,6,Friday,121,RIGHT THROUGH,3,35812,2,0,0,2,1,3,1,1,Cross intersection,3,60,Arterial Highway,144.268039,-36.758417,20150619,BENDIGO
T20150012982,2015-06-19,08:50:00,4,Collision with a fixed object,6,Friday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,2,290682,2,0,0,1,0,1,1,5,Not at intersection,3,100,Arterial Other,144.14579,-36.87995,20150619,BENDIGO
T20150016253,2015-06-21,14:48:00,1,Collision with vehicle,0,Sunday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,44714,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Highway,144.246714,-36.716986,20150621,BENDIGO
T20150013404,2015-06-24,16:25:00,1,Collision with vehicle,4,Wednesday,131,LEFT REAR,1,50485,2,0,0,1,1,2,1,2,T intersection,3,80,Arterial Highway,144.158348,-36.844421,20150624,BENDIGO
T20150013361,2015-06-24,06:35:00,1,Collision with vehicle,4,Wednesday,112,LEFT FAR (INTERSECTIONS ONLY),2,291294,2,0,0,1,1,2,1,2,T intersection,3,100,Arterial Highway,144.08088,-36.75413,20150624,BENDIGO
T20150017575,2015-06-26,15:30:00,1,Collision with vehicle,6,Friday,148,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,1,293196,2,0,0,1,1,2,1,2,T intersection,3,50,Local Road,144.290666,-36.772904,20150626,BENDIGO
T20150017199,2015-06-28,13:15:00,1,Collision with vehicle,1,Sunday,130,REAR END(VEHICLES IN SAME LANE),1,51735,3,0,0,1,3,4,2,2,T intersection,3,70,Arterial Highway,144.242322,-36.802638,20150628,BENDIGO
T20150013657,2015-06-28,13:20:00,4,Collision with a fixed object,1,Sunday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,51595,1,0,0,1,0,1,1,2,T intersection,3,60,Arterial Highway,144.263662,-36.755656,20150628,BENDIGO
T20150013693,2015-06-29,07:44:00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),2,35819,2,0,1,0,1,2,1,1,Cross intersection,2,50,Local Road,144.302639,-36.777405,20150629,BENDIGO
T20150013870,2015-07-01,16:10:00,4,Collision with a fixed object,4,Wednesday,171,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,2,293457,1,0,1,2,0,3,1,5,Not at intersection,2,60,Local Road,144.229087,-36.816258,20150701,BENDIGO
T20150013877,2015-07-01,21:00:00,1,Collision with vehicle,4,Wednesday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),3,291113,2,0,1,0,1,2,1,1,Cross intersection,2,50,Local Road,144.263546,-36.753757,20150701,BENDIGO
T20150017890,2015-07-04,14:00:00,1,Collision with vehicle,7,Saturday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,35812,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Highway,144.268039,-36.758417,20150704,BENDIGO
T20150014136,2015-07-05,11:40:00,4,Collision with a fixed object,1,Sunday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,291302,2,0,0,2,1,3,1,5,Not at intersection,3,100,Arterial Highway,144.185293,-36.659529,20150705,BENDIGO
T20150017187,2015-07-06,11:55:00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,59571,2,0,0,1,1,2,2,1,Cross intersection,3,60,Local Road,144.266015,-36.741851,20150706,BENDIGO
T20150014164,2015-07-06,09:55:00,1,Collision with vehicle,2,Monday,110,CROSS TRAFFIC(INTERSECTIONS ONLY),1,291305,2,0,2,0,2,4,1,1,Cross intersection,2,50,Local Road,144.266339,-36.747397,20150706,BENDIGO
T20150014255,2015-07-07,14:00:00,4,Collision with a fixed object,3,Tuesday,173,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE,1,291471,1,0,0,1,0,1,1,5,Not at intersection,3,888,,144.4311,-36.745652,20150707,BENDIGO
T20150014313,2015-07-08,14:00:00,1,Collision with vehicle,4,Wednesday,116,LEFT NEAR (INTERSECTIONS ONLY),1,51636,2,0,1,0,1,2,1,1,Cross intersection,2,50,Local Road,144.257601,-36.762479,20150708,BENDIGO
T20150014333,2015-07-08,15:30:00,1,Collision with vehicle,3,Wednesday,130,REAR END(VEHICLES IN SAME LANE),1,57309,2,0,0,1,1,2,2,2,T intersection,3,50,Local Road,144.284397,-36.776358,20150708,BENDIGO
T20150014458,2015-07-10,15:40:00,1,Collision with vehicle,5,Friday,130,REAR END(VEHICLES IN SAME LANE),1,59828,2,0,0,2,1,3,1,3,Y intersection,3,50,Local Road,144.288301,-36.780502,20150710,BENDIGO
T20150014459,2015-07-10,16:00:00,6,Vehicle overturned (no collision),5,Friday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),2,49321,2,0,0,1,1,2,1,1,Cross intersection,3,60,Arterial Other,144.305216,-36.773247,20150710,BENDIGO
T20150014426,2015-07-10,10:00:00,2,Struck Pedestrian,6,Friday,103,PED PLAYING/LYING/WORKING/STANDING ON CARRIAGEWAY.,1,291763,1,0,1,0,1,2,1,5,Not at intersection,2,50,Local Road,144.24523,-36.77451,20150710,BENDIGO
T20150017089,2015-07-11,21:30:00,8,No collision and no object struck,7,Saturday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),6,44642,1,0,0,1,0,1,2,4,Multiple intersection,3,50,Local Road,144.281972,-36.76016,20150711,BENDIGO
T20150014802,2015-07-14,14:30:00,1,Collision with vehicle,3,Tuesday,147,VEHICLE STRIKES ANOTHER VEH WHILE EMERGING FROM DRIVEWAY,1,298572,2,0,2,0,1,3,1,5,Not at intersection,2,50,Arterial Highway,144.705083,-36.918537,20150714,BENDIGO
T20150014732,2015-07-15,05:00:00,4,Collision with a fixed object,4,Wednesday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,3,291710,1,0,0,1,0,1,1,5,Not at intersection,3,80,,144.23772,-36.82148,20150715,BENDIGO
T20150014738,2015-07-15,06:45:00,4,Collision with a fixed object,4,Wednesday,183,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE,2,292103,1,0,1,0,0,1,1,5,Not at intersection,2,90,Arterial Highway,144.23016,-36.760463,20150715,BENDIGO
T20150015913,2015-07-15,07:15:00,6,Vehicle overturned (no collision),4,Wednesday,174,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT),3,51549,1,0,0,1,0,1,2,2,T intersection,3,60,Arterial Highway,144.296573,-36.742254,20150715,BENDIGO
